result,material_balance,piece_mobility,control_of_center_small,control_of_center_large
1-0,10,4,20,30
1-0,10,0,0,10
1-0,2,29,0,-10
1-0,5,30,-20,-20
1-0,4,48,0,20
1-0,-5,0,0,-20
0-1,-3,24,0,0
0-1,-6,32,0,0
0-1,-13,33,-10,-30
0-1,-1,38,10,10
0-1,-3,32,10,0
0-1,-5,1,10,-10
1/2-1/2,-3,41,10,0
1/2-1/2,-3,44,10,-10
1-0,4,26,10,10
1-0,5,33,0,10
1-0,5,0,0,10
1-0,-1,40,10,-20
1-0,-3,34,0,10
1-0,-1,17,10,30
1-0,-8,24,10,30
1-0,-8,26,0,20
0-1,2,35,20,20
0-1,-2,44,-10,-30
0-1,-2,27,-20,-40
0-1,-2,16,-10,-50
1-0,3,37,0,30
1-0,4,23,0,30
1-0,10,3,10,30
1-0,-1,52,10,0
1-0,6,40,-10,0
1-0,6,38,0,-10
1-0,9,4,0,10
1-0,3,27,0,-20
1-0,-3,38,20,40
1-0,-7,0,-10,0
0-1,8,2,10,20
0-1,-7,23,0,10
0-1,-18,34,10,10
0-1,-19,0,0,0
1-0,12,26,0,0
1-0,15,20,0,20
1-0,16,19,10,40
1-0,-1,4,20,20
1-0,8,0,0,20
0-1,-2,29,0,0
0-1,-1,23,10,30
0-1,-1,30,10,10
0-1,-8,13,-10,-20
1-0,2,22,20,30
1-0,3,23,20,30
1/2-1/2,-1,61,0,-30
1/2-1/2,-7,22,0,20
1/2-1/2,-7,1,0,10
1-0,6,5,10,20
1-0,1,6,-10,-10
1-0,7,27,-10,-10
1-0,10,0,0,-20
0-1,1,35,20,0
0-1,1,39,10,0
0-1,-4,25,10,30
0-1,-6,21,-10,0
0-1,1,30,0,10
0-1,-3,49,0,0
0-1,1,35,10,10
0-1,1,41,0,20
0-1,-8,49,-10,0
0-1,-15,46,-20,-30
0-1,-16,0,-20,-30
0-1,-1,39,-10,-30
1-0,8,23,-10,30
1-0,8,19,10,10
1-0,11,0,0,0
1-0,3,21,20,30
1-0,6,4,20,20
1-0,3,21,0,10
1/2-1/2,1,38,10,20
1/2-1/2,1,39,0,10
1/2-1/2,1,19,0,10
1/2-1/2,-2,16,0,20
1/2-1/2,-2,10,10,0
1/2-1/2,-2,17,0,0
1/2-1/2,-2,16,-10,-10
1/2-1/2,-3,6,0,0
1-0,1,29,0,30
1-0,1,24,0,0
1-0,3,21,0,10
1-0,5,18,0,10
1-0,-2,49,0,0
1-0,-2,37,0,10
1-0,7,3,10,20
0-1,-1,28,10,40
0-1,-1,31,-10,-10
0-1,-1,27,-20,-20
0-1,-7,4,-20,-40
1-0,1,23,30,50
1-0,2,21,0,20
1-0,6,17,0,0
1-0,12,2,0,-10
1-0,4,6,-10,0
1-0,6,4,0,20
1-0,3,27,0,30
0-1,-1,38,-10,-20
0-1,2,32,-10,-30
0-1,2,34,0,0
0-1,-11,28,-10,-20
0-1,-20,52,-10,-30
0-1,-28,0,-10,-20
1-0,1,44,0,-20
1-0,1,40,-20,-20
1-0,11,30,0,10
0-1,-1,36,10,10
0-1,2,27,10,10
0-1,-8,37,0,0
0-1,-11,3,10,-10
0-1,-1,51,10,20
0-1,-2,43,10,0
0-1,-11,12,10,10
0-1,-10,51,10,0
0-1,-17,0,0,-10
1-0,1,42,0,20
1-0,1,38,10,10
1-0,6,2,20,40
1-0,12,3,0,10
0-1,-3,45,10,0
0-1,-5,36,10,10
1-0,-1,36,20,10
1-0,-5,0,20,-20
0-1,1,30,20,40
0-1,-1,28,10,10
0-1,-5,20,0,0
0-1,-6,16,0,0
0-1,-7,16,0,0
0-1,-15,0,0,0
0-1,4,29,-10,0
0-1,1,42,-20,-30
0-1,5,17,-20,-40
0-1,-1,40,0,10
0-1,-3,33,10,10
1-0,9,27,0,20
1-0,-6,38,-20,-20
1-0,-7,47,-10,-20
1-0,-3,28,-10,0
1-0,-3,28,-10,0
1-0,-1,22,-10,-10
1-0,-1,5,-20,-10
1/2-1/2,4,38,0,30
1/2-1/2,2,32,0,-10
1/2-1/2,-3,5,0,-10
1/2-1/2,-2,30,0,-10
1/2-1/2,3,18,0,0
1/2-1/2,-1,6,-10,-20
1/2-1/2,3,12,0,-10
1-0,-1,21,0,30
1-0,-1,2,10,-10
1-0,-2,27,0,-10
1-0,-1,26,0,-10
0-1,1,30,30,30
0-1,1,17,30,20
0-1,3,19,20,20
0-1,2,0,-10,10
1-0,-4,41,20,10
0-1,1,30,20,10
0-1,7,34,20,20
0-1,2,3,20,20
1-0,4,27,10,20
1-0,10,39,10,20
0-1,-1,43,0,10
0-1,-4,36,10,0
0-1,-9,22,0,-10
1-0,8,16,10,30
1-0,9,0,10,20
1-0,-1,33,0,0
1-0,3,14,10,20
1-0,12,7,-10,-10
1-0,3,39,10,10
1-0,2,28,0,-20
0-1,3,31,10,20
0-1,3,22,10,40
0-1,-1,24,0,0
1-0,1,29,20,10
1-0,2,7,20,40
1-0,2,15,10,20
1-0,12,7,0,0
1-0,-4,39,0,0
1-0,-2,44,0,10
1-0,11,28,-10,-10
1-0,9,24,0,10
0-1,8,35,-10,10
0-1,8,38,-10,10
0-1,11,44,-10,-10
1-0,-8,0,0,-10
1-0,-4,25,0,20
1-0,-4,13,0,10
1-0,8,11,0,0
1-0,5,14,10,-20
1-0,1,1,10,0
1-0,1,7,10,0
0-1,1,26,20,20
0-1,1,37,10,-10
0-1,9,29,0,0
0-1,8,47,0,-10
0-1,-7,1,10,10
0-1,-1,25,10,10
0-1,-1,22,0,10
0-1,-1,38,0,0
0-1,2,28,20,20
0-1,-1,22,-10,0
0-1,-2,20,-10,-30
0-1,-11,6,-10,-20
1-0,1,38,10,20
1-0,1,39,10,0
1-0,1,22,10,20
1-0,2,19,10,30
1-0,4,16,10,30
1-0,2,15,10,30
1-0,2,17,10,30
1-0,3,33,0,10
1-0,-1,41,-20,0
1-0,4,14,0,-30
1-0,8,10,-10,0
1-0,13,2,0,0
1-0,3,19,0,0
1-0,2,5,0,-10
1-0,2,5,0,0
1-0,-4,28,0,-10
1-0,1,36,0,-10
1-0,1,1,20,0
0-1,-27,63,0,-30
0-1,-27,0,0,-40
1-0,1,31,20,10
1-0,3,23,20,20
1-0,1,8,20,20
1-0,2,7,20,10
1-0,1,10,20,10
1-0,4,4,20,0
1-0,4,27,-10,-10
1-0,4,15,0,0
1-0,11,3,10,30
1-0,19,0,10,20
1-0,1,50,0,0
1-0,4,45,10,20
1-0,7,18,0,10
1-0,6,5,10,0
1-0,6,4,0,0
1-0,15,0,0,10
0-1,8,40,0,10
0-1,-5,23,0,-10
0-1,-5,2,0,0
0-1,4,45,0,0
0-1,10,27,0,-10
0-1,8,0,0,20
1-0,-1,2,0,20
0-1,-1,40,0,-10
0-1,-4,26,10,0
0-1,-4,1,0,0
0-1,-5,0,-10,0
1-0,6,28,0,30
1-0,7,31,10,10
1-0,6,2,10,20
1-0,16,2,0,20
1-0,16,0,0,10
0-1,1,39,10,0
0-1,6,17,0,0
0-1,6,32,0,-10
1-0,9,23,-10,20
1-0,24,0,0,40
1-0,1,32,0,20
1-0,3,29,10,30
1-0,-2,33,-10,10
1-0,7,3,0,10
1-0,2,41,20,-10
1-0,8,17,10,0
1-0,13,0,0,0
0-1,-1,31,0,20
0-1,-10,33,0,-30
0-1,-16,48,-10,-10
0-1,-24,6,-10,-30
0-1,1,43,10,10
0-1,-2,36,10,20
0-1,-10,17,0,-10
1-0,1,19,20,20
1-0,1,16,10,30
0-1,-1,44,-20,0
0-1,-1,36,10,20
0-1,-1,9,0,0
0-1,-1,13,0,-10
0-1,-2,8,0,0
0-1,-1,40,0,0
0-1,-11,23,-10,0
0-1,2,39,0,0
0-1,-1,42,0,10
0-1,-7,34,0,0
0-1,-7,0,10,10
0-1,1,41,10,20
0-1,-2,19,0,0
0-1,-3,9,0,10
0-1,-2,13,0,0
1-0,3,28,10,10
1-0,-2,36,10,0
1-0,1,0,10,10
0-1,-3,0,0,20
1-0,1,37,10,0
1-0,-2,30,10,10
1-0,-3,0,-10,-20
0-1,-1,34,-10,-10
0-1,-1,30,-20,-30
0-1,-2,14,0,-10
0-1,-2,14,0,0
1-0,4,39,0,-30
1-0,3,34,10,20
1-0,2,3,0,-10
1-0,2,6,10,20
1-0,2,5,0,20
1-0,3,31,20,0
1-0,7,44,0,-10
1-0,7,12,10,20
1-0,10,5,10,20
1-0,1,41,20,30
1-0,2,27,10,10
1-0,6,20,10,40
1-0,10,10,10,20
1-0,18,0,10,20
1-0,-2,32,0,20
1-0,3,9,0,0
1-0,1,41,20,0
1-0,5,24,10,-10
1-0,-2,28,0,0
1-0,-3,4,0,0
1-0,-1,29,-10,0
0-1,-1,40,0,-10
0-1,-6,21,-10,0
0-1,-7,12,0,10
0-1,-15,0,0,0
0-1,-1,32,-20,-30
0-1,-1,29,-20,-10
0-1,-2,50,-10,-30
0-1,-5,4,-20,-40
0-1,-6,22,-10,-20
0-1,-7,3,-20,-10
0-1,-5,35,10,0
0-1,-9,33,0,0
1-0,10,2,0,0
1-0,1,36,0,-10
1-0,-1,43,30,50
1-0,-2,0,0,-20
1-0,8,23,0,-40
1-0,-1,25,0,10
1-0,-2,21,0,-10
1-0,-4,22,-10,-20
1-0,3,10,-10,0
1-0,6,4,10,20
1-0,9,6,0,20
1-0,17,2,0,30
1-0,17,0,0,20
1-0,-2,49,-20,-10
1-0,5,3,0,0
1-0,-1,41,0,-10
1-0,-1,26,0,20
0-1,-1,31,-10,-20
0-1,-4,16,10,-10
0-1,-4,10,-10,-10
0-1,3,25,10,10
0-1,-5,28,10,10
0-1,-13,0,10,10
0-1,-1,37,30,40
0-1,-1,28,0,30
0-1,-6,5,0,-30
1-0,-1,38,-20,-10
1-0,3,37,10,10
1-0,17,8,10,10
1-0,17,0,0,0
0-1,3,43,20,30
0-1,1,36,0,10
0-1,1,25,-10,20
0-1,1,28,-10,10
0-1,10,28,10,10
0-1,-2,26,-10,-10
0-1,-3,16,0,0
0-1,-3,6,10,-10
1-0,1,21,10,20
1-0,1,32,10,10
0-1,-1,4,10,20
0-1,1,34,10,30
0-1,-3,0,10,-10
1-0,1,34,10,40
1-0,4,39,0,20
1-0,3,30,0,0
1-0,4,28,0,10
1-0,8,13,0,0
1-0,8,0,0,0
1-0,2,27,0,30
1-0,4,23,10,-10
1-0,1,22,10,-20
1-0,5,11,10,-20
1-0,3,0,10,20
1-0,2,38,0,-20
1-0,-1,27,0,-30
1-0,4,1,0,-20
1-0,1,39,20,20
1-0,7,21,-10,-20
1-0,7,2,-10,-20
0-1,-1,40,-10,-10
0-1,-6,19,-10,0
1-0,3,4,-10,-10
1-0,-1,30,-10,-50
1-0,1,30,-10,-20
1-0,-2,1,10,-10
1-0,-2,28,-10,-20
1-0,1,36,10,10
1-0,4,3,10,0
1-0,7,4,0,0
1-0,15,0,0,10
1-0,-1,28,0,0
1-0,5,35,-10,-20
1-0,9,2,0,0
1-0,3,31,10,10
1-0,1,27,10,-10
1-0,3,7,-20,-10
1-0,10,30,-20,-10
0-1,-1,33,-10,-20
0-1,7,17,0,-20
0-1,-3,4,-10,-20
1-0,-1,50,0,0
1-0,-8,0,0,10
0-1,1,34,0,20
0-1,-4,38,-20,-30
0-1,-3,33,0,10
0-1,-3,36,0,20
0-1,-7,36,-20,-10
0-1,-12,21,-20,-10
0-1,3,25,0,10
0-1,-8,39,0,-10
0-1,-10,26,-10,-10
0-1,-10,5,-10,-20
0-1,2,42,-10,10
0-1,3,39,0,20
0-1,-1,22,0,-10
1-0,8,34,0,0
1-0,15,13,0,0
1-0,23,16,0,-10
1-0,26,0,0,0
1-0,-1,40,0,-10
1-0,8,21,10,-10
0-1,-4,38,-20,-40
0-1,2,19,10,-10
0-1,2,19,10,0
0-1,5,16,10,0
0-1,6,3,10,30
0-1,1,42,-10,-10
0-1,2,0,10,0
1-0,1,36,0,-10
1-0,5,1,10,0
0-1,-1,36,10,20
0-1,-3,20,0,20
0-1,-5,34,10,10
0-1,-4,4,0,-20
0-1,-10,26,0,-10
0-1,-14,39,-20,-10
0-1,-10,0,0,-10
0-1,-1,26,10,-10
0-1,-4,38,0,0
0-1,-9,21,0,-10
1-0,1,46,-10,10
1-0,3,37,0,-10
0-1,1,32,-10,0
0-1,-8,37,10,10
0-1,-15,0,0,0
0-1,-4,38,0,0
0-1,-9,3,0,10
0-1,1,5,10,0
0-1,1,30,10,10
0-1,-1,42,-10,-20
0-1,-4,52,-10,-10
0-1,-3,17,0,0
0-1,-3,5,0,0
0-1,-4,7,-10,0
0-1,-2,17,10,10
0-1,-14,32,0,10
0-1,-14,0,0,0
1-0,2,0,20,20
1-0,-2,1,10,10
1-0,-3,1,0,10
0-1,-6,16,0,10
1-0,1,31,10,10
1-0,1,29,0,0
1-0,3,31,-10,-10
1-0,3,35,20,30
1-0,12,0,20,30
1-0,4,0,0,-10
0-1,3,28,0,30
0-1,-1,28,10,20
0-1,-4,24,0,-40
0-1,-4,4,-30,-50
0-1,-4,34,10,10
0-1,-3,18,0,10
0-1,-4,15,0,-20
1/2-1/2,1,37,10,40
1/2-1/2,3,24,0,0
1/2-1/2,4,5,0,-10
1/2-1/2,5,8,0,0
1/2-1/2,5,21,10,20
1-0,3,26,20,30
1-0,-1,40,0,0
1-0,9,27,-10,10
1-0,4,31,10,10
0-1,-1,55,10,0
0-1,-2,0,0,-10
1-0,3,33,10,10
1-0,13,22,10,10
0-1,-1,42,10,-20
0-1,-3,3,-10,-10
1-0,-5,0,0,0
0-1,1,39,20,30
0-1,1,41,0,10
0-1,-1,1,0,10
1-0,-1,30,20,20
1-0,6,36,0,10
1-0,9,10,0,0
1-0,12,3,0,-10
0-1,-3,53,-10,-30
0-1,-3,0,0,-20
0-1,-6,34,20,30
0-1,-7,41,0,0
0-1,-7,23,10,10
1-0,4,5,10,20
0-1,-1,44,-20,-30
0-1,-9,0,-10,-10
0-1,-1,34,20,40
0-1,-1,45,10,0
0-1,-1,31,10,-10
0-1,-1,18,-10,0
0-1,-1,1,10,0
0-1,-2,34,-10,-20
0-1,2,31,10,-10
0-1,4,20,-10,-20
0-1,-1,6,-10,-10
0-1,3,39,30,10
0-1,-11,0,0,-20
0-1,-1,51,0,-10
0-1,-3,36,-10,0
1-0,7,40,0,0
1-0,11,18,20,20
1-0,11,22,20,20
1-0,3,32,-10,0
1-0,5,18,-10,-30
1-0,5,7,-10,-20
1-0,6,21,-20,0
1-0,5,15,-10,0
1-0,6,16,0,0
1/2-1/2,-3,1,-10,-30
1/2-1/2,-3,1,-10,-30
1/2-1/2,-3,1,-10,-30
1/2-1/2,-3,1,-10,-30
1/2-1/2,-3,1,-10,-30
1/2-1/2,-3,25,-10,-30
0-1,2,39,-10,-10
0-1,5,41,-10,10
0-1,4,0,0,10
0-1,1,39,10,0
0-1,-9,42,0,10
0-1,-13,0,0,0
1-0,-1,42,-10,-20
1-0,-1,33,0,-10
1-0,-4,35,-10,-20
1-0,-1,2,-10,-10
0-1,-3,39,0,20
0-1,-6,38,10,0
1-0,-1,49,-10,-50
1-0,-1,38,-10,-40
1-0,1,31,-10,0
1-0,-1,32,0,-10
1-0,7,2,0,-10
1-0,1,31,-10,20
1-0,1,29,0,20
1-0,1,12,10,10
1-0,1,13,10,10
0-1,2,31,10,-10
0-1,3,42,0,-10
0-1,-3,14,0,10
0-1,-4,5,-10,-10
0-1,-3,40,-20,-30
0-1,-2,16,-10,-10
0-1,-3,12,0,-30
0-1,-3,7,-10,-20
0-1,-1,27,10,0
0-1,-7,37,20,20
0-1,-13,18,-10,-30
1-0,1,27,10,20
1-0,7,9,0,10
1-0,1,3,0,20
0-1,-15,0,-10,0
1-0,3,32,-10,10
1-0,2,1,-10,-20
1-0,4,17,-20,-20
0-1,-1,43,-10,-10
0-1,-5,6,0,0
1-0,-1,40,-10,-20
1-0,4,23,0,20
1-0,5,0,0,10
0-1,-2,43,-10,0
0-1,-11,18,-10,10
1-0,-1,38,10,10
1-0,-2,34,20,10
1-0,2,6,-10,-30
1-0,18,2,10,10
1-0,21,0,0,10
1-0,8,35,0,-10
1-0,13,17,10,0
1-0,14,0,0,0
1-0,3,2,20,10
1-0,1,46,10,0
1-0,5,28,0,10
1-0,3,0,-10,0
1-0,1,40,20,40
1-0,1,2,-10,10
1-0,10,20,-10,-10
1-0,-1,45,-20,-10
1-0,-6,2,-10,-30
1-0,-6,33,0,-40
1-0,-5,21,0,-20
1-0,8,2,0,-20
1-0,-1,29,0,-20
1-0,1,7,0,10
1-0,1,7,0,-10
1-0,1,4,0,-10
1-0,-1,35,-10,10
1-0,3,22,0,0
1-0,1,5,0,0
1-0,1,19,-10,-10
1-0,1,2,0,0
0-1,-3,37,10,0
0-1,-20,0,10,-20
1-0,-1,25,10,0
1-0,-1,19,10,0
1-0,3,15,0,-30
1-0,5,15,-10,-10
1-0,3,5,0,20
1-0,10,5,-10,-10
1-0,2,38,0,0
1-0,1,34,-10,0
1-0,11,16,0,10
1-0,13,4,0,10
1-0,21,2,0,10
1-0,9,35,-10,0
1-0,-1,34,20,0
1-0,-1,38,20,20
1-0,7,25,10,20
1-0,1,52,20,0
1-0,2,3,0,10
0-1,2,33,10,10
0-1,-1,46,0,0
0-1,-4,23,0,20
0-1,-7,21,0,-10
0-1,-7,0,0,0
1-0,3,36,20,30
1-0,-3,3,0,10
1-0,-4,26,0,20
0-1,5,12,10,0
0-1,2,2,-10,-20
0-1,2,1,10,0
0-1,3,14,0,10
1-0,1,26,-10,-10
1-0,1,22,-10,0
1-0,1,0,0,10
1-0,1,27,0,10
1-0,-2,34,10,0
1-0,-2,32,10,20
1-0,8,6,10,0
1-0,15,0,10,10
0-1,-9,27,0,0
0-1,-8,39,0,-20
0-1,-4,38,-20,-30
0-1,-6,0,-10,-30
0-1,-6,3,10,20
0-1,-5,14,0,0
1-0,3,26,0,20
1-0,1,25,-20,-10
1-0,1,24,-10,-10
1-0,5,9,-10,-20
0-1,-3,35,0,10
0-1,2,25,0,20
0-1,-3,38,0,-10
0-1,-3,0,0,-10
0-1,-2,43,0,-30
0-1,-17,19,-10,-40
1-0,-1,33,20,10
1-0,-1,29,10,0
1-0,1,41,-10,-20
1-0,6,7,20,10
1-0,11,0,10,0
1-0,9,27,20,10
1-0,12,3,10,10
0-1,-1,34,10,10
0-1,-1,30,10,20
0-1,-1,44,10,-10
0-1,1,27,10,0
0-1,-4,10,10,10
0-1,3,40,10,0
1-0,4,23,10,30
0-1,1,38,0,30
0-1,2,48,10,40
0-1,-2,27,0,10
0-1,-2,5,-10,10
1-0,7,39,0,-10
1-0,-1,25,0,30
1-0,2,14,20,30
1-0,4,12,20,40
1-0,4,8,20,30
1-0,2,0,10,10
0-1,-7,2,0,0
0-1,-11,37,0,0
0-1,-13,0,10,0
0-1,1,35,0,0
0-1,1,22,10,20
0-1,-3,22,0,10
0-1,-5,19,-10,0
0-1,-5,19,0,0
0-1,-5,0,0,0
0-1,-4,22,10,0
1-0,2,36,-10,-20
1-0,2,33,0,-10
1-0,9,8,10,10
0-1,1,4,0,20
1-0,-5,46,0,0
1-0,-4,5,0,-10
0-1,6,31,20,20
0-1,10,34,10,10
1-0,1,49,20,0
1-0,1,41,0,10
1-0,3,45,10,20
1-0,1,29,0,-10
1-0,1,45,0,-10
1-0,11,4,0,-20
0-1,7,30,10,10
0-1,3,32,20,10
0-1,3,33,10,0
0-1,3,4,10,20
0-1,6,40,10,30
1-0,-1,4,0,0
1-0,-2,35,0,-10
1-0,4,15,-10,-20
1-0,5,0,-20,-40
0-1,-2,4,10,20
0-1,2,4,0,0
0-1,2,46,10,10
1-0,5,23,-10,20
1-0,2,0,-10,0
1-0,9,26,0,-10
1-0,8,41,-10,-20
0-1,3,35,0,30
0-1,-4,49,-10,-10
0-1,-2,39,0,10
0-1,-1,3,0,0
0-1,-4,20,0,10
0-1,-13,35,-10,0
0-1,-14,34,0,0
0-1,-14,0,0,0
1/2-1/2,5,26,0,0
1/2-1/2,3,28,0,-20
1/2-1/2,-2,39,10,0
1/2-1/2,-1,4,20,10
1/2-1/2,2,20,20,20
1/2-1/2,2,16,10,20
1/2-1/2,10,3,10,10
1/2-1/2,11,0,0,10
1-0,2,5,-10,0
1-0,6,0,-10,-20
0-1,-1,46,0,-10
0-1,1,28,0,-20
0-1,-1,4,0,-10
0-1,1,41,20,20
0-1,1,29,10,40
0-1,2,24,0,10
0-1,4,0,10,20
1-0,7,2,20,0
0-1,-1,27,10,0
0-1,-7,35,10,10
0-1,-1,29,-10,0
0-1,-4,7,-10,-10
0-1,-6,44,-20,-30
0-1,-14,35,-10,-10
0-1,-15,42,-20,-30
0-1,-23,0,-10,-40
0-1,-1,46,0,0
0-1,-3,0,10,0
0-1,-1,24,10,30
0-1,-5,23,20,20
0-1,-7,15,0,-10
0-1,-7,3,0,-20
0-1,-3,36,-10,0
0-1,-6,27,-10,-20
0-1,2,23,10,0
0-1,4,27,10,-10
0-1,7,0,10,10
1-0,3,11,20,30
1-0,3,14,0,10
0-1,1,41,10,20
0-1,-1,0,10,30
1-0,-1,39,0,-20
1-0,-2,4,10,0
1-0,-2,1,0,0
1-0,16,24,10,10
0-1,3,3,-10,10
0-1,-1,0,0,0
1-0,5,3,0,0
1-0,5,0,0,0
0-1,1,33,0,10
0-1,-9,55,10,-10
0-1,-21,15,-10,-10
1-0,1,23,10,10
1-0,5,22,-10,0
1-0,9,20,10,20
1-0,12,4,0,10
0-1,3,44,10,-10
0-1,-3,4,0,-10
0-1,-2,5,0,-10
0-1,-4,22,-10,-20
0-1,-5,17,0,-10
0-1,-14,41,0,-10
0-1,-14,0,0,-10
0-1,1,37,0,0
0-1,6,25,-10,-20
0-1,2,4,-10,-10
0-1,-10,0,0,0
1-0,1,39,-10,0
1-0,1,46,-10,-10
1-0,-1,26,0,0
1-0,-1,21,10,10
0-1,-1,23,10,20
0-1,-2,4,0,-10
1-0,2,42,0,10
1-0,2,22,0,0
1-0,-4,0,0,0
0-1,-4,38,-10,20
0-1,-13,26,-10,10
0-1,-4,49,10,0
0-1,-5,29,10,10
0-1,-8,0,0,-10
0-1,-3,27,20,20
0-1,-2,26,10,20
0-1,-4,31,0,-10
0-1,-9,2,0,0
0-1,9,2,0,-20
0-1,-1,3,0,10
1-0,3,37,10,10
1-0,4,33,0,0
1-0,10,0,0,10
0-1,-8,29,10,-10
0-1,3,28,0,10
0-1,2,31,-10,0
0-1,1,1,-10,10
0-1,1,21,0,0
0-1,-6,30,0,-20
0-1,-11,5,-20,-30
1-0,2,26,0,10
1-0,3,3,0,20
1-0,5,4,0,-10
1-0,5,5,0,0
1-0,1,3,-10,-10
1-0,5,22,0,10
1-0,5,3,0,10
1-0,7,5,0,-10
1-0,7,5,0,-10
1/2-1/2,-1,38,0,10
1/2-1/2,3,26,-10,-10
1/2-1/2,2,21,20,10
1/2-1/2,4,14,10,10
1/2-1/2,4,15,0,10
1/2-1/2,3,4,10,10
0-1,-1,35,0,-20
0-1,-2,38,0,-10
0-1,1,37,-10,-20
1-0,9,4,0,-10
1-0,1,13,0,10
1-0,1,5,10,0
1-0,9,1,0,0
0-1,-3,24,-10,0
0-1,-8,21,-10,0
1-0,3,43,0,10
1-0,1,37,-10,-10
1-0,3,5,0,-10
1-0,8,14,-10,-20
1-0,1,44,-10,10
1-0,1,44,0,0
1-0,7,25,0,-10
1-0,1,36,0,-20
1-0,5,5,-10,-10
0-1,4,22,10,0
0-1,-1,21,-10,-20
1-0,3,27,0,0
1-0,3,2,-10,-20
1-0,-4,30,0,-20
1-0,10,3,0,30
0-1,-3,41,-20,0
0-1,-4,46,-20,-40
0-1,-1,0,-20,-20
0-1,4,42,0,-10
0-1,2,40,0,10
1-0,1,0,0,-10
1-0,1,36,10,20
1-0,-2,43,0,20
1-0,-3,2,0,0
1-0,-4,21,0,0
1-0,-1,17,-20,-20
1-0,-1,16,-20,-10
1-0,-1,13,-10,-10
1-0,7,12,-10,-10
0-1,1,19,10,30
0-1,-4,31,10,0
0-1,-15,42,10,0
0-1,-19,3,-10,-30
1-0,4,4,20,30
1-0,3,1,10,30
0-1,-1,24,10,0
0-1,1,28,10,0
0-1,-9,5,0,-30
1-0,-2,30,10,40
1-0,1,1,10,10
1-0,2,3,10,10
1-0,2,4,20,30
1-0,8,19,20,20
1-0,8,20,10,20
1-0,9,18,0,-20
1-0,11,2,0,0
1-0,6,26,0,20
0-1,-1,44,0,0
0-1,1,10,0,0
1-0,2,35,0,-10
1-0,13,17,0,20
0-1,-3,32,-20,-20
0-1,-3,32,-10,-30
0-1,-4,20,0,-20
0-1,-5,0,-10,-20
0-1,-1,38,-10,-30
0-1,-2,31,-20,-30
0-1,-2,23,-20,-10
1-0,-1,34,0,-20
1-0,10,27,0,-10
1-0,10,18,0,0
1-0,3,31,-10,-10
1-0,9,30,-10,-10
1-0,-4,5,20,0
1/2-1/2,1,39,10,10
1/2-1/2,-3,31,0,10
1/2-1/2,-3,2,-10,0
1/2-1/2,-4,20,-10,-10
1/2-1/2,-2,17,0,0
1-0,1,29,20,20
1-0,1,51,0,-10
1-0,1,40,10,10
1-0,2,4,10,0
1-0,1,31,20,20
1-0,3,32,20,20
1-0,8,0,10,20
0-1,2,30,0,10
0-1,-2,43,10,20
1-0,3,0,10,20
1-0,1,5,0,20
1-0,1,6,10,0
0-1,-1,11,10,10
0-1,-1,17,10,0
0-1,1,38,10,20
0-1,1,43,0,10
1-0,10,17,10,0
1-0,-3,39,10,0
1-0,-3,24,20,20
0-1,-1,51,-10,0
0-1,-5,26,0,0
0-1,-7,6,0,0
0-1,-9,19,0,0
0-1,1,25,0,0
0-1,-2,32,-10,-10
0-1,-3,26,-10,-10
0-1,-4,2,-20,-30
0-1,-10,9,-10,-20
1-0,1,3,10,-10
1-0,-2,29,10,-10
1-0,-1,49,10,30
1-0,-2,46,10,30
1-0,-2,38,0,20
0-1,-1,27,10,-10
0-1,-4,42,-30,-40
0-1,-4,32,-30,-50
0-1,5,36,-10,-20
0-1,-5,34,-10,-10
0-1,-7,0,-20,-30
0-1,-10,0,-10,-20
0-1,5,30,10,10
0-1,-5,33,10,20
1-0,-3,24,10,10
1-0,-3,25,20,30
1-0,1,2,0,10
1-0,4,0,10,10
1-0,-6,41,0,20
1-0,6,21,0,10
0-1,-1,42,0,-20
0-1,-4,26,0,20
0-1,-6,0,0,20
0-1,1,38,10,10
0-1,-20,44,10,20
0-1,-20,0,0,10
0-1,1,26,20,10
0-1,-3,25,0,20
0-1,-1,29,-10,10
0-1,-6,6,0,0
1-0,2,5,-20,-20
1-0,5,9,-10,0
1-0,2,7,10,20
1-0,1,28,0,0
1-0,-1,30,0,-10
1-0,3,26,10,-10
1-0,2,30,0,0
0-1,-10,36,0,10
0-1,-14,41,0,10
0-1,-24,0,-10,-20
0-1,-1,39,10,0
0-1,1,34,10,20
0-1,-2,44,-10,-20
0-1,-12,0,-10,-40
1-0,-1,32,30,40
1-0,6,30,30,30
1-0,6,14,20,30
0-1,-4,36,10,30
0-1,-5,5,10,30
1-0,-1,31,-10,-10
1-0,-1,29,10,10
1-0,1,1,10,-10
1-0,2,28,10,-10
0-1,-5,24,0,30
0-1,2,29,10,0
0-1,-1,20,-10,-40
0-1,-2,9,-10,-50
0-1,-2,6,-10,-30
0-1,-6,4,-10,-20
0-1,-2,32,-10,-20
0-1,-1,37,-10,-20
0-1,-3,28,0,10
0-1,-8,28,10,10
1-0,1,1,10,0
1-0,1,0,10,0
0-1,-10,28,0,-10
1-0,-3,47,-10,-10
1-0,-4,40,-10,-50
1-0,-3,32,-10,-30
1-0,1,16,0,10
1-0,1,16,10,20
0-1,-1,31,10,0
0-1,-1,28,-10,0
0-1,-2,37,0,0
0-1,-2,3,10,20
1-0,2,29,-10,10
1-0,9,27,-10,-20
