result,material_balance,piece_mobility,control_of_center_small,control_of_center_large
1-0,1,21,10,-10
0-1,-1,42,0,0
0-1,-5,37,10,0
0-1,-5,18,10,0
1-0,14,2,10,20
1-0,10,0,10,20
1-0,-3,31,-10,-20
1-0,-2,29,-10,-10
1-0,-2,0,-10,-10
1-0,4,0,10,20
1-0,1,0,10,-10
1-0,-1,34,0,10
1-0,-1,36,10,20
1-0,-3,0,20,0
0-1,-3,31,-10,0
0-1,-7,40,0,0
0-1,-11,42,0,0
1-0,1,21,10,0
1-0,9,1,10,30
1-0,9,0,10,40
1-0,1,43,0,20
1-0,1,38,10,0
1-0,5,21,10,10
1-0,4,0,10,10
1-0,2,28,10,0
1-0,-2,41,-10,-10
1-0,-1,41,-10,-10
1-0,-4,28,0,0
1-0,-3,26,0,10
1-0,5,5,0,10
0-1,-10,37,-10,0
0-1,-14,1,-10,-10
0-1,-3,4,10,-20
0-1,6,36,-10,-20
0-1,-5,5,-10,-10
0-1,-7,20,-10,-10
0-1,-10,8,-10,-10
1-0,2,44,10,0
1-0,-4,4,-10,-20
1-0,13,0,0,-10
1-0,1,34,10,10
1-0,8,26,0,-10
1-0,8,23,0,-10
0-1,1,41,0,0
0-1,1,2,0,20
1-0,-1,28,10,20
1-0,-1,19,10,10
1-0,-1,13,-10,-40
1-0,-1,24,0,20
1-0,5,37,-10,-30
1-0,6,31,-10,-30
1-0,3,32,10,0
1-0,6,31,20,0
1-0,5,4,0,-10
1-0,6,27,-10,-20
1-0,5,41,10,20
1-0,2,41,0,10
1-0,5,1,0,10
1-0,4,0,0,30
1-0,-2,42,0,-20
1-0,-1,28,10,10
1-0,-1,16,10,20
1-0,-1,7,0,-10
1-0,22,0,10,20
1-0,1,32,30,30
1-0,3,30,20,10
1-0,3,17,20,20
1-0,3,17,10,10
1-0,1,46,20,0
1-0,-2,41,-10,10
1-0,2,8,0,10
1-0,4,3,0,20
1-0,12,1,0,10
1-0,12,0,0,10
1-0,3,25,30,30
1-0,-1,33,0,10
1-0,-1,28,-10,0
0-1,-1,8,0,0
0-1,-5,36,10,10
0-1,-7,35,0,-30
0-1,-7,4,0,-10
1-0,-1,35,10,0
1-0,-1,0,10,20
0-1,1,31,-10,0
0-1,-1,34,0,10
0-1,7,34,-10,-10
0-1,2,0,-10,0
1-0,1,33,-10,0
1-0,4,25,-10,10
1-0,4,21,-10,-10
1-0,5,0,0,0
0-1,3,24,-10,-10
0-1,4,33,10,10
0-1,12,22,0,10
0-1,-1,22,0,0
0-1,1,23,0,0
1-0,1,37,0,20
1-0,1,33,-10,-10
1-0,2,34,0,-20
1-0,-1,18,-10,0
0-1,-1,47,0,-10
0-1,-3,40,0,0
0-1,-11,24,0,0
0-1,-3,35,-10,0
0-1,-8,36,0,-30
0-1,-9,41,0,-50
0-1,-10,6,0,-30
0-1,-1,28,0,10
0-1,-1,16,-10,0
0-1,-2,22,-10,0
0-1,-1,35,-10,10
0-1,-11,32,-10,10
0-1,-11,44,-10,-20
0-1,-16,0,-10,-30
0-1,-9,30,10,10
1-0,-1,39,0,-20
1-0,1,31,-10,-20
1-0,1,19,0,-10
1-0,1,11,0,0
1-0,1,14,0,-10
0-1,5,2,0,-10
0-1,-1,16,0,-10
0-1,-1,6,-10,-20
1-0,1,40,-10,10
1-0,8,19,0,20
1-0,9,14,-10,10
1-0,14,4,-10,0
0-1,1,40,10,20
0-1,9,36,10,10
0-1,-4,32,0,0
0-1,-8,4,0,0
0-1,-8,2,0,0
1/2-1/2,-2,41,-10,0
1/2-1/2,7,17,0,20
1/2-1/2,-5,21,0,10
1/2-1/2,9,26,-10,-10
1-0,1,32,0,0
1-0,5,2,10,10
1-0,1,40,10,10
1-0,-1,30,-10,10
1-0,3,21,0,0
1-0,4,11,-10,-10
1-0,4,25,-10,-10
1-0,2,14,0,10
1-0,8,2,10,20
1-0,10,4,0,10
1-0,14,3,10,20
1-0,3,32,0,-10
1-0,5,37,0,0
1-0,9,35,-10,-10
0-1,-9,32,10,10
0-1,-9,19,10,10
1-0,2,24,-10,10
1-0,5,33,0,30
0-1,-3,29,0,0
0-1,-7,30,10,0
0-1,-12,19,0,0
1-0,-1,4,0,10
0-1,1,34,10,-20
0-1,-1,40,10,10
0-1,-4,36,20,30
0-1,-11,0,10,10
1-0,2,25,-10,0
1-0,3,3,0,-20
1-0,4,3,10,10
1-0,1,29,0,0
1-0,2,4,0,20
1-0,4,7,0,10
1-0,3,8,0,10
0-1,-1,24,20,20
0-1,-3,35,0,0
0-1,-12,4,0,0
1-0,-3,1,0,-30
0-1,-4,41,10,10
0-1,-13,40,10,10
0-1,-18,11,10,10
0-1,1,29,10,10
0-1,1,37,0,10
0-1,-1,34,0,-10
0-1,-1,0,0,0
0-1,-2,37,0,0
0-1,-4,28,-10,-10
0-1,-1,24,-20,-10
0-1,1,37,-10,-10
0-1,-1,20,0,0
0-1,-2,10,0,0
0-1,-2,8,0,0
0-1,-3,24,0,10
0-1,-3,5,-10,0
0-1,-6,29,-10,0
0-1,-9,32,-10,-10
0-1,-14,0,-10,-10
0-1,-2,34,10,-10
0-1,-2,2,10,0
0-1,-5,2,0,20
1-0,6,36,10,-10
1-0,11,16,10,10
1-0,3,30,0,30
1-0,10,27,-20,0
1-0,3,31,-10,-30
1-0,5,22,0,-10
1-0,5,3,-10,-10
1-0,3,17,0,-10
1-0,2,3,0,10
1-0,2,2,0,10
1-0,9,0,0,10
1-0,-1,43,0,-10
1-0,8,37,10,-20
1-0,2,29,0,-20
1-0,-2,28,0,-30
1-0,1,35,10,0
0-1,-1,29,0,-10
0-1,1,51,10,0
0-1,2,28,-10,10
0-1,5,5,0,0
0-1,6,24,0,10
1-0,1,36,0,20
1-0,4,32,10,0
1-0,5,20,10,20
1-0,4,14,10,0
1-0,6,15,10,20
0-1,-1,40,0,10
0-1,3,29,0,-20
0-1,-1,22,-10,-20
0-1,-2,32,20,20
1-0,2,21,10,0
1-0,2,22,-10,-10
1-0,2,0,0,0
1-0,3,32,0,30
1-0,4,41,20,50
0-1,-5,0,20,20
0-1,-6,40,20,20
0-1,-13,36,-10,-10
0-1,-18,11,-10,-30
1-0,4,0,10,20
0-1,-3,26,-10,-20
0-1,-6,10,0,-10
1-0,-1,27,10,10
1-0,-1,36,-10,-10
1-0,-2,0,-10,0
0-1,-1,35,0,10
0-1,-5,26,10,30
0-1,-7,31,10,0
0-1,-8,30,10,-20
0-1,-9,35,10,0
0-1,-14,0,10,0
0-1,-4,24,10,10
0-1,-11,11,0,0
1-0,1,33,20,0
1-0,8,29,10,10
1-0,6,37,-10,-40
1-0,7,5,10,0
1-0,3,33,10,20
1-0,2,1,10,10
0-1,-1,44,-10,-30
0-1,3,14,10,0
0-1,3,17,0,10
0-1,1,20,0,0
1-0,1,36,10,0
1-0,1,10,-10,10
1-0,3,5,0,0
0-1,1,46,10,30
0-1,4,33,0,-30
0-1,3,0,0,-10
0-1,-1,31,20,10
0-1,-4,35,10,-20
0-1,-3,5,-10,-30
0-1,-15,36,0,-20
0-1,-16,0,-10,-20
1-0,6,0,0,0
1-0,1,5,0,-10
1-0,-1,27,0,0
1-0,3,22,0,0
1-0,3,16,0,-10
0-1,-2,0,10,30
0-1,-1,37,0,10
0-1,-4,39,10,20
0-1,-9,0,10,30
1-0,2,5,-20,-20
0-1,2,32,10,0
0-1,-2,23,10,10
0-1,-8,4,0,-10
0-1,-1,44,10,10
0-1,2,38,0,10
0-1,1,31,-20,-10
0-1,1,28,-10,0
1-0,3,31,0,0
1-0,4,21,10,-10
1-0,5,8,0,0
1-0,8,3,20,30
1-0,16,0,10,40
1-0,-1,37,10,10
1-0,-1,36,0,0
1-0,-2,28,0,0
1-0,-2,21,0,-10
1-0,-2,18,0,-10
1-0,-3,37,10,0
1-0,-2,35,10,0
1-0,-6,26,0,-30
0-1,-11,36,20,0
0-1,-14,38,20,20
1-0,1,0,0,20
1-0,12,1,-10,0
1-0,4,24,-10,10
1-0,5,21,0,-20
1-0,5,28,0,20
0-1,3,41,0,-10
1-0,-1,47,0,-10
1-0,-3,36,0,-10
1-0,-4,25,0,0
1-0,3,2,0,-10
1-0,-4,34,0,20
1-0,-4,34,0,0
1-0,2,23,0,-10
1-0,-1,21,0,-10
1-0,-1,17,10,10
1-0,-1,18,10,10
0-1,1,30,20,0
0-1,-1,29,-10,-30
0-1,2,21,-10,-10
0-1,-2,17,0,10
0-1,-2,5,10,0
0-1,-1,24,-20,-10
0-1,-1,43,-20,-30
0-1,-17,55,-10,-20
0-1,-22,11,-10,-20
1-0,14,22,0,0
1-0,18,12,0,0
1/2-1/2,-3,23,10,-10
1/2-1/2,-1,16,0,10
1/2-1/2,3,4,0,0
1/2-1/2,-1,37,0,-20
1/2-1/2,-1,34,0,0
1/2-1/2,-1,24,0,-20
1/2-1/2,-2,13,0,0
1/2-1/2,-4,12,0,0
0-1,-1,35,-10,-10
0-1,-7,33,0,0
0-1,-10,19,0,0
1-0,5,32,10,-10
1-0,9,24,10,0
1-0,13,0,10,-10
0-1,-8,1,-10,0
0-1,-7,32,0,-10
0-1,-8,27,0,0
0-1,-7,29,-20,-30
0-1,-15,0,-20,-40
1-0,-1,3,-10,0
1-0,4,20,0,0
1-0,4,23,0,10
1-0,6,1,10,10
1-0,9,0,10,30
