Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,AN
 Blitz ,zaaco99,Cbonfim125,0-1,2016.06.30,22:01:22,1661,1446,-18,17,C41,Philidor Defense #3,300+0,Normal,1. e4 e5 2. Nf3 d6 3. Bc4 Bg4 4. c3 Bxf3 5. Qxf3 Nf6 6. d3 Nc6 7. Bg5 Be7 8. Nd2 Na5 9. O-O Nxc4 10. Nxc4 c5 11. Ne3 Nd7 12. Bxe7 Qxe7 13. Nd5 Qd8 14. b4 cxb4 15. cxb4 O-O 16. Rac1 Nb6 17. a3 Nxd5 18. exd5 b6 19. Qe4 Rc8 20. Rc4 Rc7 21. Rfc1 Rxc4 22. dxc4 Qg5 23. g3 Qxc1+ 24. Kg2 Qxa3 25. c5 bxc5 26. bxc5 Qxc5 27. h4 a5 28. h5 h6 29. g4 a4 30. Kg3 Qc3+ 31. f3 a3 32. g5 a2 33. gxh6 g5 34. hxg6 a1=Q 35. gxf7+ Rxf7 36. Qg6+ Kf8 37. Qxd6+ Re7 38. Qf6+ Ke8 39. Qh8+ Kd7 0-1
 Blitz ,dario7218,EnriqueVillegas,1-0,2016.06.30,22:01:22,1830,1678,6,-7,E30,Nimzo-Indian Defense: Leningrad Variation,300+0,Normal,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Bg5 h6 5. Bh4 c5 6. d5 exd5 7. cxd5 g5 8. Bg3 O-O 9. d6 Ne4 10. Qc2 Nxc3 11. bxc3 Ba5 12. h4 Qf6 13. O-O-O Bxc3 14. hxg5 Qxg5+ 15. e3 Bg7 16. Nf3 Qf6 17. Be5 Qg6 18. Bd3 Qe6 19. Bxg7 Kxg7 20. Rh3 Nc6 21. Rg3+ Kh8 22. Rh1 Rg8 23. Rgh3 Kg7 24. Rxh6 Qxh6 25. Rxh6 Kxh6 26. Qc3 b6 27. Qf6+ Kh5 28. Qxf7+ 1-0
 Bullet ,MINSK_VAMPIRE,fsanna,0-1,2016.06.30,22:01:23,1896,1847,-12,12,A00,Van Geet Opening: Reversed Nimzowitsch,0+1,Time forfeit,1. Nc3 e5 2. Ne4 d6 3. d4 f5 4. Ng5 Nc6 5. dxe5 h6 0-1
 Blitz ,Pierangelo,aleksandar181994,0-1,2016.06.30,22:01:24,1366,1335,-12,12,B20,Sicilian Defense,300+3,Normal,1. e4 c5 2. d3 e6 3. Be3 Nc6 4. Qd2 Nf6 5. f3 d5 6. Nc3 d4 7. Bxd4 cxd4 8. Nb5 a6 9. Na3 e5 10. Nc4 b5 11. Nxe5 Nxe5 12. f4 Nc6 13. e5 Nd5 14. Ne2 Bb4 15. c3 dxc3 16. bxc3 Ba5 17. g3 O-O 18. Bg2 Nde7 19. O-O Bb6+ 20. d4 Ba5 21. Rfd1 Bg4 22. Qd3 Bxe2 23. Qxe2 Bxc3 24. Rac1 Bxd4+ 25. Kh1 Rc8 26. Rc2 Nf5 27. Qe4 Ne3 28. Rxd4 Nxd4 29. Rd2 Rc1+ 30. Bf1 Rxf1# 0-1
 Classical ,abolith,ericgeneric,1-0,2016.06.30,22:01:24,1972,1851,7,-18,A00,Hungarian Opening,900+0,Normal,1. g3 d5 2. Bg2 e5 3. c4 c6 4. Qb3 Nf6 5. Nc3 d4 6. Ne4 Nxe4 7. Bxe4 f5 8. Bg2 Bd6 9. d3 Na6 10. a3 Nc5 11. Qa2 O-O 12. Nf3 Kh8 13. b4 Nd7 14. c5 Bc7 15. Ng5 Qe7 16. Ne6 Nf6 17. Nxf8 Qxf8 18. O-O Ng4 19. f4 exf4 20. Bxf4 Bxf4 21. Rxf4 Ne3 22. Bf3 Qf6 23. Qb2 g5 24. Rxd4 Be6 25. Rd8+ 1-0
 Blitz ,controll,pwntiuspilate,1-0,2016.06.30,22:01:23,1332,1463,14,-14,C44,Scotch Game,180+2,Normal,1. e4 e5 2. Nf3 Nc6 3. d4 d6 4. dxe5 dxe5 5. Qxd8+ Kxd8 6. Bb5 Bd7 7. O-O a6 8. Bxc6 Bxc6 9. Rd1+ Ke7 10. Nxe5 Nf6 11. Nxc6+ bxc6 12. e5 Nd5 13. Bg5+ f6 14. exf6+ gxf6 15. Bc1 Rg8 16. Nd2 Nf4 17. g3 Nh3+ 18. Kg2 Ng5 19. Nc4 h5 20. Re1+ Kf7 21. Be3 Re8 22. Bxg5 fxg5 23. Rxe8 Kxe8 24. Re1+ Kf7 25. Ne5+ Kf6 26. Nxc6 Bc5 27. Ne5 Bd4 28. Nd7+ Kg6 29. c3 Ba7 30. h3 Rd8 31. Re6+ Kf7 32. Rxa6 Rxd7 33. Rxa7 Ke7 34. b4 Kd6 35. c4 c6 36. Rxd7+ Kxd7 37. a4 Kd6 38. b5 cxb5 39. axb5 Kc5 40. Kf3 g4+ 41. hxg4 Kxc4 42. gxh5 Kxb5 43. h6 1-0
 Blitz ,vahdaniGM,amir1351,0-1,2016.06.30,22:01:22,2219,2214,-10,10,A04,Zukertort Opening: Kingside Fianchetto,180+2,Time forfeit,1. Nf3 g6 2. e4 Bg7 3. d4 c6 4. c4 d6 5. Nc3 Nf6 6. Be2 O-O 7. O-O Na6 8. Be3 Nc7 9. Qd2 b6 10. h3 Bb7 11. Bh6 Ne6 12. Bxg7 Kxg7 13. Rfe1 h6 14. Rad1 Nh7 15. d5 Nc5 16. e5 cxd5 17. cxd5 dxe5 18. Nxe5 f6 19. Ng4 g5 20. b4 Nd7 21. Bb5 Rf7 22. Ba4 Ndf8 23. Bc2 Bc8 24. Qd3 Bxg4 25. hxg4 Rc8 26. Nb5 Qd7 27. f3 Rxc2 28. Qxc2 Qxb5 29. Qb3 a5 30. bxa5 Qxa5 31. Re4 Nd7 32. Ra4 Qc5+ 33. Kh1 Ne5 34. Rb4 Nf8 35. Rxb6 Qf2 36. Rb4 Nfd7 37. a4 Nc5 38. Qb1 Rf8 39. a5 Ra8 40. Rf1 Qh4+ 41. Kg1 Rxa5 42. Rb5 Ra3 43. Rxc5 Qg3 44. Qb7 Ng6 45. d6 Qxd6 46. Rc7 Re3 47. Rb1 Re2 48. Kh1 Nh4 49. Rxe7+ Rxe7 50. Qb6 Qg3 51. Qb2 Re1+ 52. Rxe1 Qxe1+ 53. Kh2 Qe5+ 54. Kh3 Qxb2 0-1
 Bullet ,M3rC3L_CCas,blind-kitten,1-0,2016.06.30,22:01:24,1630,1842,18,-19,C33,"King's Gambit Accepted, Bishop's Gambit, Anderssen Defense",30+0,Time forfeit,1. e4 e5 2. f4 exf4 3. Bc4 g5 4. Qh5 Qe7 5. Nf3 Qxe4+ 6. Kd1 Qxc4 7. Nxg5 Kd8 8. Re1 Nf6 9. Nxf7+ 1-0
 Bullet ,fff1234567,HACHEEA9,0-1,2016.06.30,22:01:24,1475,1315,-15,16,E76,King's Indian Defense: Four Pawns Attack,45+3,Time forfeit,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f4 O-O 6. e5 dxe5 7. fxe5 Nh5 8. Nf3 Bh8 9. Bh6 Ng7 10. d5 Bg4 11. h3 Bxf3 12. Qxf3 e6 13. O-O-O exd5 14. cxd5 Nd7 15. Bxg7 Bxg7 16. Qe3 Nxe5 17. Bc4 Nxc4 18. Qc5 Nd6 19. Nb5 Qg5+ 20. Kb1 Nxb5 21. Qxb5 Rad8 22. Qxb7 Qe5 23. Rd2 Rb8 24. Qc6 Rxb2+ 25. Kc1 Rb6 26. Qc2 Qa1+ 27. Qb1 Rxb1+ 28. Kc2 Rb2+ 29. Kd3 Rxd2+ 30. Kxd2 Rd8 31. Ke2 Qxh1 0-1
 Blitz ,MIGUEL135,francruz1974,0-1,2016.06.30,22:01:25,1883,2000,-9,8,B06,Modern Defense,180+2,Normal,1. e4 g6 2. Nf3 Bg7 3. Nc3 d6 4. Bc4 a6 5. d3 b5 6. Bb3 e6 7. a4 b4 8. Ne2 Bb7 9. O-O Nf6 10. Ng5 O-O 11. Bxe6 fxe6 12. Nxe6 Qe7 13. Nxf8 Qxf8 14. b3 Nxe4 15. Rb1 Nf6 16. Nf4 Qf7 17. Bb2 Nbd7 18. Re1 Re8 19. Rxe8+ Qxe8 20. Nh3 Ne5 21. Qd2 Qc6 22. f3 Nxf3+ 23. gxf3 Qxf3 24. Rd1 Qxh3 25. Bxf6 0-1
 Classical ,blingblingmoney,burak1071,0-1,2016.06.30,22:01:26,1745,1612,-14,15,D02,Queen's Pawn Game: Zukertort Variation,600+0,Normal,1. d4 d5 2. Nf3 f6 3. Bf4 Nc6 4. e3 e6 5. c4 b6 6. cxd5 Qxd5 7. a3 Bd6 8. Nc3 Qf5 9. Bxd6 cxd6 10. Bb5 Bd7 11. Bd3 Qg4 12. O-O e5 13. dxe5 dxe5 14. e4 Nge7 15. h3 Qg6 16. Nd5 Bxh3 17. Nh4 Qg5 18. Qf3 Nxd5 19. exd5 Nd4 20. Bb5+ Nxb5 21. Qxh3 O-O 22. Qe6+ Kh8 23. Nf3 Qh5 24. Rac1 Rfe8 25. Qd7 Nd4 26. Rc7 Ne2# 0-1
 Classical ,RSdC,sulo52,0-1,2016.06.30,22:01:26,1925,2126,-5,6,A02,Bird Opening,600+0,Normal,1. f4 e6 2. Nf3 g6 3. e3 Bg7 4. Nc3 d5 5. Rb1 a6 6. b4 b5 7. a4 c6 8. a5 Bb7 9. Ne5 Nd7 10. Nf3 c5 11. Be2 cxb4 12. Rxb4 Qxa5 13. Nxb5 axb5 14. Rxb5 Qc7 15. Bb2 Bxb2 16. Rxb2 Ngf6 17. Qb1 Ba6 18. Bxa6 Rxa6 19. Rb7 Qc8 20. O-O O-O 21. Ne5 Nxe5 22. fxe5 Ne4 23. Qb4 Rc6 24. Ra7 Rxc2 25. Qb7 Qxb7 26. Rxb7 Rxd2 0-1
 Classical ,avelpic,mmsadeghi,0-1,2016.06.30,22:01:27,1389,1442,-9,9,D00,Blackmar-Diemer Gambit: Diemer-Rosenberg Attack,900+0,Normal,1. d4 d5 2. e4 dxe4 3. Be3 e6 4. Ne2 Nf6 5. Nbc3 a6 6. Na4 b5 7. Nc5 Bxc5 8. dxc5 Qxd1+ 9. Kxd1 O-O 10. Nd4 e5 11. Nb3 Nc6 12. Bg5 Nd5 13. c4 bxc4 14. Bxc4 Rd8 15. Bxd8 Bg4+ 16. f3 exf3 17. gxf3 Bxf3+ 18. Kd2 Rxd8 19. Rhf1 e4 20. Bxa6 Ndb4+ 21. Ke3 Nxa6 22. Nd2 Ncb4 23. Nxe4 Nc2+ 24. Kxf3 Nxa1 25. Rxa1 f5 26. Ng5 Nxc5 27. Re1 h6 28. Ne6 Nxe6 29. Rxe6 Rd2 30. Re8+ Kf7 31. Re2 Rxe2 32. Kxe2 g5 33. a4 Ke7 34. a5 Kd7 35. a6 Kc8 36. a7 Kb7 37. a8=Q+ Kxa8 38. b4 Kb7 39. Kd3 Kb6 40. Kc4 f4 41. Kd3 Kb5 0-1
 Blitz ,Lobo200,rama05,0-1,2016.06.30,22:01:27,1712,1818,-8,7,A11,English Opening: Caro-Kann Defensive System,180+0,Normal,1. c4 c6 2. Nc3 e6 3. e4 d5 4. d3 d4 5. Na4 Bd7 6. Be2 c5 7. Nf3 Qa5+ 8. Bd2 Qxa4 9. Qxa4 Bxa4 10. b3 Bd7 11. a4 Bd6 12. O-O Ne7 13. Rab1 Nbc6 14. Nh4 O-O 15. f4 b6 16. Bg4 Bc7 17. f5 exf5 18. exf5 f6 19. Rbe1 Ne5 20. Bf3 Rae8 21. Bd5+ Kh8 22. Bf4 Bb8 23. Rd1 Bc6 24. Bxc6 N7xc6 25. Bxe5 Nxe5 26. Ng6+ hxg6 27. fxg6 Nxg6 28. Rf3 Kg8 29. Rf5 Ne5 30. h4 Ng4 31. Rdf1 Ne3 32. h5 Nxf1 33. Rxf1 Re2 34. g4 Rfe8 35. Rf2 Re1+ 36. Kg2 R8e3 37. h6 Rg3+ 38. Kh2 Rxg4+ 39. Kh3 Rg3+ 40. Kh4 Rh1+ 41. Rh2 Rxh2# 0-1
 Classical ,jaiunpseudo,m3kko,0-1,2016.06.30,22:01:23,1597,1541,-13,13,C55,Italian Game: Anti-Fried Liver Defense,480+5,Normal,1. e4 { [%eval 0.28] } 1... e5 { [%eval 0.24] } 2. Nf3 { [%eval 0.29] } 2... Nc6 { [%eval 0.43] } 3. Bc4 { [%eval 0.14] } 3... h6?! { [%eval 0.68] } 4. d4 { [%eval 0.63] } 4... Bd6?! { [%eval 1.29] } 5. dxe5 { [%eval 1.34] } 5... Nxe5 { [%eval 1.46] } 6. Nxe5 { [%eval 1.48] } 6... Bxe5 { [%eval 1.4] } 7. O-O?! { [%eval 0.76] } 7... Nf6? { [%eval 2.31] } 8. Nc3? { [%eval -0.15] } 8... d6 { [%eval 0.24] } 9. Be3?! { [%eval -0.68] } 9... O-O?! { [%eval 0.06] } 10. Qd2 { [%eval -0.18] } 10... Re8 { [%eval 0.0] } 11. Bxh6? { [%eval -2.3] } 11... gxh6 { [%eval -2.21] } 12. Qxh6 { [%eval -2.18] } 12... Be6 { [%eval -2.3] } 13. Bxe6 { [%eval -2.26] } 13... fxe6? { [%eval -0.88] } 14. Rfe1? { [%eval -2.42] } 14... Bxc3? { [%eval -1.14] } 15. bxc3 { [%eval -1.39] } 15... Qe7?! { [%eval -0.83] } 16. Qg5+?! { [%eval -1.79] } 16... Kf7 { [%eval -1.6] } 17. f4?! { [%eval -2.42] } 17... Rg8?! { [%eval -1.75] } 18. Qh4? { [%eval -3.51] } 18... Rh8 { [%eval -3.41] } 19. Qg5? { [%eval -4.63] } 19... Rag8 { [%eval -4.53] } 20. Qa5 { [%eval -4.12] } 20... Ng4? { [%eval -2.28] } 21. Qxa7?? { [%eval -9.56] } 21... Nxh2 { [%eval -8.45] } 22. Qxb7? { [%eval -12.3] } 0-1
 Bullet ,hilllel,Radenko-metraza-PK,0-1,2016.06.30,22:01:27,1396,1667,-4,4,A20,English Opening: King's English Variation,120+1,Time forfeit,1. c4 e5 2. g3 d6 3. Bg2 f5 4. e3 Nf6 5. Ne2 c6 6. b4 Be6 7. d3 g6 8. Nbc3 Bg7 9. Bb2 O-O 10. O-O a5 11. b5 g5 12. bxc6 Nxc6 13. Nb5 h5 14. Nec3 h4 15. Nd5 hxg3 16. fxg3 Rc8 17. d4 exd4 18. Bxd4 Ne4 19. Bxg7 Kxg7 20. Rf2 Nxf2 21. Kxf2 Ne5 22. Rc1 Nxc4 23. Qd4+ Ne5 24. Rxc8 Qxc8 25. Ne7 Qc2+ 26. Kg1 Rf7 27. Nd5 f4 28. Nxd6 Rd7 29. Nf5+ Bxf5 30. Qxe5+ Kg8 31. Qe8+ Kg7 32. Qxd7+ Bxd7 33. Nxf4 Qd1+ 0-1
 Blitz ,wjadro,thundercat,1-0,2016.06.30,22:01:27,1523,1483,9,-11,B22,Sicilian Defense: Alapin Variation,180+2,Normal,1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. Nf3 Bg7 6. g3 e5 7. d5 Nf6 8. Nc3 O-O 9. Bg2 Bg4 10. h3 Bxf3 11. Qxf3 Qa5 12. Bd2 Qb6 13. b3 Nbd7 14. Na4 Qd4 15. Bc3 Qxa4 16. bxa4 Rac8 17. O-O Rc5 18. Rab1 b6 19. Bb4 Rc4 20. a3 Rfc8 21. a5 bxa5 22. Bxa5 Ra4 23. Bb4 Nb6 24. Rfc1 Rxc1+ 25. Rxc1 Nfd7 26. Bxd6 Rd4 27. Bc5 Rc4 28. Rxc4 Nxc4 29. Bxa7 Nd2 30. Qd3 Nb1 31. Qxb1 1-0
 Classical ,AgaTaRo,tinnet,1-0,2016.06.30,22:01:27,1653,1715,14,-12,C23,Bishop's Opening,1020+0,Normal,1. e4 e5 2. Bc4 Nc6 3. Qf3 Nf6 4. Ne2 d6 5. d3 Bg4 6. Qg3 Bxe2 7. Kxe2 Nd4+ 8. Kd2 g6 9. c3 Nh5 10. Qe3 Ne6 11. Bxe6 fxe6 12. Ke2 Bg7 13. Re1 Qf6 14. Kf1 O-O-O 15. Qxa7 d5 16. Qa8+ Kd7 17. Qa4+ c6 18. exd5 exd5 19. Qg4+ Kc7 20. Bg5 Qf5 21. Qxf5 gxf5 22. Bxd8+ Kxd8 23. Nd2 Bh6 24. Nf3 e4 25. dxe4 fxe4 26. Ne5 Ke7 27. Ng4 Bf4 28. Kg1 Nf6 29. Nxf6 Kxf6 30. Rad1 b5 31. Rd4 h5 32. b3 Ke5 33. a4 h4 34. h3 Ra8 35. axb5 cxb5 36. Red1 Ra3 37. Rxd5+ Ke6 38. Rxb5 e3 39. fxe3 Bxe3+ 40. Kh1 Bf4 41. c4 Ra2 42. c5 Rc2 43. Rb6+ Ke5 44. c6 Ke4 45. Rb4+ Ke3 46. Rc4 Rf2 47. Rg1 Bc7 48. b4 Kd3 49. Rc5 Kd4 50. Rcc1 Rf5 51. Rgd1+ Ke5 52. Re1+ Kd6 53. Rc5 Rxc5 54. bxc5+ Kxc5 55. Re6 Kd5 56. Rh6 Bd8 57. Kg1 Bc7 58. Kf1 Bd6 59. Kf2 Kxc6 60. Kf3 Kd7 61. Kg4 Bg3 62. Rxh4 Bxh4 63. Kxh4 Ke7 64. Kg5 Kf7 65. g4 Kg7 66. h4 Kh7 67. h5 Kg7 68. Kf5 Kh6 69. Kf4 Kg7 70. g5 Kh7 71. Kf5 Kg7 72. h6+ Kh7 73. Kf6 Kg8 74. Kg6 Kh8 75. Kf6 Kh7 76. Kf5 Kg8 77. g6 Kh8 78. Kf6 Kg8 79. Kg5 Kh8 80. Kf5 Kg8 81. Kf6 Kh8 82. g7+ Kh7 83. Kf7 Kxh6 84. g8=Q Kh5 85. Kf6 Kh4 86. Kf5 Kh3 87. Kf4 Kh2 88. Kf3 Kh1 89. Qg2# 1-0
 Blitz ,DVRazor,gbsalvio,1-0,2016.06.30,22:01:28,2336,2152,6,-6,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",180+0,Time forfeit,1. e4 e5 2. d4 Nc6 3. d5 Nce7 4. Nf3 Ng6 5. h4 h5 6. Ng5 Bc5 7. d6 Bxd6 8. Bc4 Nh6 9. Qf3 Qf6 10. Qb3 Bc5 11. Kd1 d6 12. f4 exf4 13. Rf1 Ng4 14. Bxf7+ Kd8 15. Bxg6 Rf8 16. Bxh5 Ne3+ 17. Bxe3 Bxe3 18. c3 b6 19. Nd2 Ba6 20. Ne6+ Ke7 21. Nxf8 Rxf8 22. Re1 Qxh4 23. Qd5 c6 24. Qxc6 Qxh5+ 25. Kc2 Qc5 26. Qxc5 bxc5 27. Nf1 Bf2 28. Red1 Be2 29. Rd5 Bc4 30. Rf5 Rxf5 31. exf5 Kf6 32. b3 Bd5 33. g4 fxg3 34. Nxg3 Bxg3 35. c4 Be4+ 36. Kb2 Bxf5 37. Rg1 1-0
 Bullet ,tiltCHIMP,edushi,1-0,2016.06.30,22:01:30,1795,1515,4,-4,D06,Queen's Gambit Refused: Marshall Defense,60+0,Normal,1. d4 d5 2. c4 Nf6 3. cxd5 e6 4. dxe6 fxe6 5. Nf3 1-0
 Blitz ,batyaiktat,pierresales,0-1,2016.06.30,22:01:29,2036,2087,-9,9,B20,Sicilian Defense: Lasker-Dunne Attack,180+0,Time forfeit,1. e4 c5 2. g3 d5 3. Bg2 dxe4 4. Nc3 Nf6 5. Nxe4 e5 6. Ne2 Be7 7. d3 O-O 8. O-O Nfd7 9. f4 f5 10. Ng5 exf4 11. Ne6 Qb6 12. Nxf8 c4+ 13. d4 Nxf8 14. Nxf4 Nc6 15. c3 Bf6 16. Nd5 Qd8 17. Bf4 Be6 18. Ne3 Qb6 19. Bd6 Rd8 20. Bc5 Qxb2 21. Qf3 Ne7 22. Rab1 Qxc3 23. Rxb7 Nd5 24. Nxf5 Bxf5 25. Qxc3 Nxc3 26. Rxf5 Ne2+ 27. Kf2 Nxd4 28. Bd5+ Kh8 29. Bxd4 Bxd4+ 30. Ke2 Ng6 31. Bxc4 Re8+ 32. Kd3 Rd8 33. Rd5 Rc8 34. Kxd4 h6 35. Rdd7 Rxc4+ 36. Kxc4 Ne5+ 37. Kd5 Nxd7 38. Rxd7 g5 39. Ke6 a5 40. Kf6 Kg8 41. Kg6 Kf8 42. Kf6 Ke8 43. Ke6 Kf8 44. Rh7 a4 45. Rd7 h5 46. Kf6 Ke8 47. Ra7 Kd8 48. Rxa4 Kc8 0-1
 Bullet ,SharkFang,AlexChepikov,1-0,2016.06.30,22:01:32,2195,2178,10,-10,C11,"French Defense: Steinitz Variation, Boleslavsky Variation",60+0,Time forfeit,1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 Nc6 7. Be3 cxd4 8. Nxd4 Be7 9. Qd2 O-O 10. O-O-O f5 11. Nxe6 Qa5 12. Nxf8 Nxf8 13. Qxd5+ Qxd5 14. Nxd5 Be6 15. Nc7 Rc8 16. Nxe6 Nxe6 17. Bc4 Kf7 18. Bxe6+ Kxe6 19. Rd2 a5 20. Rhd1 a4 21. Rd7 b5 22. Rb7 b4 23. Rb6 Kf7 24. Rd7 Ke8 25. Rbb7 b3 26. axb3 axb3 27. c3 h6 28. Rdc7 Kd8 29. Rxc8+ Kxc8 30. Rxb3 g5 31. g3 gxf4 32. gxf4 h5 33. Rb5 h4 34. Bc5 Bd8 35. Bd6 Kd7 36. Rb7+ Ke6 37. c4 h3 38. b4 Nd4 39. c5 Ne2+ 40. Kd2 Nxf4 41. c6 Nd5 42. c7 Nxc7 43. Bxc7 Bg5+ 44. Kd3 f4 45. Bd6 f3 46. Rb8 f2 47. Rf8 1-0
 Blitz ,dr_lee87,platerin,1-0,2016.06.30,22:01:25,1860,1776,21,-8,D30,Queen's Gambit Declined,300+0,Normal,1. d4 { [%eval 0.18] } 1... d5 { [%eval 0.21] } 2. c4 { [%eval 0.15] } 2... e6 { [%eval 0.19] } 3. Nf3 { [%eval 0.18] } 3... Nf6 { [%eval 0.28] } 4. e3 { [%eval 0.15] } 4... Bb4+ { [%eval 0.25] } 5. Nc3 { [%eval 0.28] } 5... Nc6 { [%eval 0.4] } 6. Bd2 { [%eval 0.32] } 6... O-O { [%eval 0.29] } 7. Be2 { [%eval 0.38] } 7... Re8 { [%eval 0.5] } 8. O-O { [%eval 0.44] } 8... e5?! { [%eval 0.98] } 9. Nxd5 { [%eval 0.94] } 9... Bxd2 { [%eval 0.97] } 10. Nxf6+ { [%eval 0.97] } 10... Qxf6 { [%eval 0.97] } 11. Qxd2 { [%eval 1.0] } 11... exd4 { [%eval 1.03] } 12. Nxd4 { [%eval 0.9] } 12... Nxd4 { [%eval 0.97] } 13. exd4 { [%eval 1.01] } 13... Re7 { [%eval 1.1] } 14. Rfe1 { [%eval 1.1] } 14... Bf5 { [%eval 1.08] } 15. Bf3 { [%eval 1.1] } 15... Rae8 { [%eval 1.12] } 16. Rxe7 { [%eval 1.05] } 16... Rxe7 { [%eval 0.99] } 17. Bxb7 { [%eval 0.92] } 17... c6? { [%eval 2.06] } 18. d5?? { [%eval -2.11] } 18... cxd5?? { [%eval 2.29] } 19. Bxd5 { [%eval 2.19] } 19... Qg6?! { [%eval 2.84] } 20. Be4 { [%eval 2.39] } 20... Rd7?? { [%eval 5.64] } 21. Bxf5?? { [%eval 2.04] } 21... Rxd2 { [%eval 2.06] } 22. Bxg6 { [%eval 2.05] } 22... hxg6 { [%eval 2.13] } 23. b3?! { [%eval 1.58] } 23... Kf8 { [%eval 1.82] } 24. g3 { [%eval 1.59] } 24... Ke7?! { [%eval 2.17] } 25. Kg2 { [%eval 1.77] } 25... Kd6 { [%eval 1.75] } 26. h4 { [%eval 1.53] } 26... Kc5?! { [%eval 2.1] } 27. Kf3 { [%eval 2.02] } 27... Kd6?! { [%eval 2.89] } 28. Ke3 { [%eval 2.8] } 28... Rc2 { [%eval 2.64] } 29. f4? { [%eval 1.4] } 29... Ke6 { [%eval 1.75] } 30. b4? { [%eval 0.5] } 30... Rxc4 { [%eval 0.46] } 31. a3 { [%eval 0.06] } 31... Kf5? { [%eval 1.5] } 32. Kd3 { [%eval 1.27] } 32... Re4 { [%eval 1.51] } 33. b5 { [%eval 1.43] } 33... Re6?! { [%eval 2.14] } 34. a4 { [%eval 1.93] } 34... Kg4 { [%eval 1.85] } 35. Rg1 { [%eval 2.34] } 35... Rd6+ { [%eval 2.49] } 36. Kc4 { [%eval 2.53] } 36... Re6 { [%eval 2.89] } 37. a5 { [%eval 3.0] } 37... Re4+ { [%eval 3.28] } 38. Kc5 { [%eval 3.21] } 38... Re7? { [%eval 5.04] } 39. b6 { [%eval 4.93] } 39... axb6+ { [%eval 4.34] } 40. axb6 { [%eval 4.24] } 40... f5? { [%eval 5.78] } 41. Kc6 { [%eval 5.02] } 1-0
 Bullet ,BogdanC,DrillshineUpsmash,0-1,2016.06.30,22:01:31,1395,1590,-5,6,C02,"French Defense: Advance Variation, Euwe Variation",90+0,Time forfeit,1. e4 e6 2. Nf3 d5 3. e5 c5 4. d4 Nc6 5. c3 Bd7 6. Na3 cxd4 7. Nxd4 Nxe5 8. f4 Ng6 9. Bd3 Nf6 10. O-O Bc5 11. Be3 Qb6 12. c4 dxc4 13. Bxc4 O-O 14. Nac2 Rfd8 15. b3 Bb5 16. Bxb5 Qxb5 17. Nxb5 Rxd1 18. Rfxd1 Bxe3+ 19. Nxe3 Nxf4 20. Kf2 Kf8 21. g4 Ke7 22. Kf3 N6d5 23. Nc3 Nxc3 24. Rf1 Ncd5 25. Nxd5+ Nxd5 26. Ke4 Rc8 27. Rf3 Rc2 28. h4 Rh2 29. h5 Re2+ 30. Kd4 Rd2+ 31. Rd3 Rg2 32. Rad1 Rxg4+ 33. Kc5 b6+ 34. Kc6 Rg5 35. Kb7 Rxh5 36. Kxa7 Rf5 37. a4 h5 0-1
 Blitz ,JeffChess,Alsterdorf,0-1,2016.06.30,22:01:32,1934,1950,-11,10,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",300+0,Normal,1. c4 Nf6 2. Nc3 c5 3. d4 cxd4 4. Qxd4 Nc6 5. Qd1 d6 6. e4 g6 7. Be3 Bg7 8. Bd3 O-O 9. f3 Be6 10. Rc1 Ne5 11. b3 a6 12. Nge2 Qa5 13. O-O Nc6 14. Nd4 Nxd4 15. Bxd4 Nd7 16. Bxg7 Kxg7 17. Qe2 Nc5 18. Bb1 Rfd8 19. Rfd1 Nd7 20. Nd5 Bxd5 21. Rxd5 Qc7 22. Rcd1 Nf6 23. Qb2 Kg8 24. Kh1 Nxd5 25. cxd5 Rac8 0-1
 Classical ,laburle,salaudin53,1-0,2016.06.30,22:01:32,1996,1608,2,-2,B02,Alekhine Defense,600+2,Normal,1. e4 Nf6 2. Nc3 b6 3. g3 Bb7 4. Bg2 e6 5. d3 Bb4 6. Bd2 Bxc3 7. Bxc3 h5 8. Nf3 d5 9. exd5 Bxd5 10. Bxf6 Qxf6 11. c3 Bxf3 12. Qxf3 Qe5+ 13. Qe4 Qxe4+ 14. Bxe4 c6 15. O-O Kd7 16. h4 Na6 17. d4 c5 18. Bxa8 Rxa8 19. Rfd1 Kc6 20. Rac1 cxd4 21. Rxd4 f5 22. Rcd1 Nc5 23. f3 e5 24. Rd5 Re8 25. c4 Na4 26. b3 Nc3 27. Rd6+ Kc7 28. R1d2 e4 29. fxe4 Nxe4 30. Rd7+ Kc8 31. Rd1 Nxg3 32. Rxg7 Ne2+ 33. Kf2 Nc3 34. Rdd7 Nxa2 35. Rxa7 Nb4 36. Ra8# 1-0
